OG Week,Popularity,Week
2023-01-01,6,01-01
2023-01-08,9,01-08
2023-01-15,5,01-15
2023-01-22,5,01-22
2023-01-29,4,01-29
2023-02-05,2,02-05
2023-02-12,3,02-12
2023-02-19,3,02-19
2023-02-26,2,02-26
2023-03-05,2,03-05
2023-03-12,2,03-12
2023-03-19,2,03-19
2023-03-26,1,03-26
2023-04-02,1,04-02
2023-04-09,1,04-09
2023-04-16,1,04-16
2023-04-23,1,04-23
2023-04-30,1,04-30
2023-05-07,1,05-07
2023-05-14,2,05-14
2023-05-21,1,05-21
2023-05-28,1,05-28
2023-06-04,4,06-04
2023-06-11,1,06-11
2023-06-18,1,06-18
2023-06-25,2,06-25
2023-07-02,1,07-02
2023-07-09,1,07-09
2023-07-16,1,07-16
2023-07-23,1,07-23
2023-07-30,1,07-30
2023-08-06,1,08-06
2023-08-13,1,08-13
2023-08-20,1,08-20
2023-08-27,1,08-27
2023-09-03,1,09-03
2023-09-10,2,09-10
2023-09-17,1,09-17
2023-09-24,1,09-24
2023-10-01,2,10-01
2023-10-08,3,10-08
2023-10-15,5,10-15
2023-10-22,11,10-22
2023-10-29,53,10-29
2023-11-05,100,11-05
2023-11-12,82,11-12
2023-11-19,30,11-19
2023-11-26,34,11-26
2023-12-03,13,12-03
2023-12-10,11,12-10
2023-12-17,12,12-17
2023-12-24,21,12-24
2023-12-31,11,12-31
