OG Week,Popularity,Week
2022-01-02,11,01-02
2022-01-09,9,01-09
2022-01-16,6,01-16
2022-01-23,5,01-23
2022-01-30,4,01-30
2022-02-06,4,02-06
2022-02-13,3,02-13
2022-02-20,3,02-20
2022-02-27,3,02-27
2022-03-06,2,03-06
2022-03-13,2,03-13
2022-03-20,3,03-20
2022-03-27,2,03-27
2022-04-03,2,04-03
2022-04-10,3,04-10
2022-04-17,3,04-17
2022-04-24,3,04-24
2022-05-01,2,05-01
2022-05-08,3,05-08
2022-05-15,3,05-15
2022-05-22,3,05-22
2022-05-29,3,05-29
2022-06-05,3,06-05
2022-06-12,3,06-12
2022-06-19,3,06-19
2022-06-26,2,06-26
2022-07-03,2,07-03
2022-07-10,3,07-10
2022-07-17,2,07-17
2022-07-24,2,07-24
2022-07-31,2,07-31
2022-08-07,2,08-07
2022-08-14,2,08-14
2022-08-21,2,08-21
2022-08-28,2,08-28
2022-09-04,2,09-04
2022-09-11,2,09-11
2022-09-18,4,09-18
2022-09-25,3,09-25
2022-10-02,5,10-02
2022-10-09,7,10-09
2022-10-16,12,10-16
2022-10-23,50,10-23
2022-10-30,100,10-30
2022-11-06,90,11-06
2022-11-13,31,11-13
2022-11-20,14,11-20
2022-11-27,15,11-27
2022-12-04,22,12-04
2022-12-11,12,12-11
2022-12-18,16,12-18
2022-12-25,11,12-25
2023-01-01,16,01-01
