Date,AQI
10/23,86
10/24,142
10/25,205
10/26,197
10/27,38
10/28,104
10/29,162
10/30,165
10/31,184
11/1,180
11/2,176
11/3,67
11/4,37
11/5,64
11/6,114
11/7,173
11/8,199
11/9,199
11/10,161
11/11,148
11/12,166
11/13,107
11/14,93
11/15,150
11/16,35
11/17,44
11/18,68
11/19,120
