OG Week,Popularity,Week
2021-01-03,13,01-03
2021-01-10,10,01-10
2021-01-17,8,01-17
2021-01-24,6,01-24
2021-01-31,5,01-31
2021-02-07,5,02-07
2021-02-14,4,02-14
2021-02-21,3,02-21
2021-02-28,3,02-28
2021-03-07,3,03-07
2021-03-14,4,03-14
2021-03-21,3,03-21
2021-03-28,3,03-28
2021-04-04,3,04-04
2021-04-11,3,04-11
2021-04-18,5,04-18
2021-04-25,5,04-25
2021-05-02,4,05-02
2021-05-09,4,05-09
2021-05-16,8,05-16
2021-05-23,5,05-23
2021-05-30,3,05-30
2021-06-06,3,06-06
2021-06-13,3,06-13
2021-06-20,2,06-20
2021-06-27,2,06-27
2021-07-04,3,07-04
2021-07-11,4,07-11
2021-07-18,3,07-18
2021-07-25,3,07-25
2021-08-01,3,08-01
2021-08-08,2,08-08
2021-08-15,2,08-15
2021-08-22,2,08-22
2021-08-29,2,08-29
2021-09-05,2,09-05
2021-09-12,2,09-12
2021-09-19,2,09-19
2021-09-26,2,09-26
2021-10-03,2,10-03
2021-10-10,5,10-10
2021-10-17,9,10-17
2021-10-24,7,10-24
2021-10-31,84,10-31
2021-11-07,77,11-07
2021-11-14,100,11-14
2021-11-21,70,11-21
2021-11-28,64,11-28
2021-12-05,40,12-05
2021-12-12,32,12-12
2021-12-19,28,12-19
2021-12-26,27,12-26
