Date,AQI
10/23,57
10/24,60
10/25,75
10/26,83
10/27,71
10/28,60
10/29,57
10/30,53
10/31,41
11/1,73
11/2,52
11/3,63
11/4,54
11/5,66
11/6,71
11/7,41
11/8,67
11/9,91
11/10,88
11/11,78
11/12,67
11/13,57
11/14,49
11/15,55
11/16,55
11/17,43
11/18,25
11/19,34
11/20,33
11/21,36
11/22,46
