Date,AQI
10/23,253
10/24,234
10/25,181
10/26,190
10/27,262
10/28,353
10/29,324
10/30,284
10/31,192
11/1,207
11/2,242
11/3,348.5
11/4,455
11/5,309
11/6,447
11/7,607
11/8,588
11/9,559
11/10,518
11/11,407
11/12,607
11/13,404
11/14,364
11/15,646
11/16,469
11/17,397
11/18,253
11/19,254
11/20,277
11/21,274
11/22,286
