Date,AQI
10/23,160
10/24,136
10/25,103
10/26,88
10/27,134
10/28,179
10/29,203
10/30,115
10/31,120
11/1,78
11/2,126
11/3,152
11/4,153
11/5,171
11/6,182
11/7,208
11/8,227
11/9,237
11/10,239
11/11,236
11/12,249
11/13,190
11/14,239
11/15,211
11/16,101
11/17,111
11/18,103
11/19,117
